nome,apadrinhamento,registrocnpj,interesseregularizar,bairro,cidade,formato,refeicoesquant,diassemana,melhordia
Ceu Ogum Beira Mar e Oxum,FONSANPOTMA,Não,Não,São José,Porto Alegre,"Marmita,Refeições coletivas",600,6,"Terça, Quinta"
Alexsandro Pedroso,FONSANPOTMA,Não,Não,Sarandi,Porto Alegre,Marmita,200,2,"Segunda, Quinta"
Carla Adriane Mendes,FONSANPOTMA,Não,Não,Sarandi,Porto Alegre,Marmita,800,7,"Segunda, Terça, Quarta, Quinta, Sexta, Sábado"
Ilê Axé Oxum Panda Ieieri- Che,Fórum fome zero,Não,Não,Sarandi,Porto Alegre,"Marmita,Refeições coletivas",100,1,Quarta
Cozinha Francisco de Medeiros - Sarandi,Multiplicidade,Não,Não,Sarandi,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",250,1,Terça
Cozinha Solidária Serraria,FESANS,Não,Não,Serraria,Porto Alegre,"As pessoas levam seus potes/vasilhas/pratos,Refeições coletivas",800,3,Sexta
Sopão Solidário Boteco da Vila,CUT Comunidades,Não,Não,Teresópolis,Porto Alegre,"Marmita,As pessoas levam seus potes/vasilhas/pratos",200,2,Quinta
Amigos de Fé,CUT Comunidades,Não,Não,Tijuca,Alvorada,Outro,300,1,"Quinta, Sexta"
Cozinha Onedes da Silva,A fome tem pressa,Não,Sim,Tijuca,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos",400,2,Sexta
Família Quilombo Silva,CUT Comunidades,Sim,Não,Três Figueiras,Porto Alegre,Marmita,200,1,Terça
Casa da Marmita Solidária,Sem apadrinhamento,Não,Não,Umbú,Alvorada,Marmita,500,5,Segunda
Axé Funfun,FONSANPOTMA,Não,Não,Umbú,Alvorada,Marmita,1.000,5,Quinta
Cozinha Solidária Filhas do Quilombo,FESANS,Não,Não,Umbú,Alvorada,"Marmita,As pessoas levam seus potes/vasilhas/pratos",150,1,Sexta
Ilê de Bara Lode,FONSANPOTMA,Não,Não,Vila Augusta,Viamão,Marmita,700,7,"Segunda, Quinta"
Ilê Mãe Inajara de Xango Agodoci,FONSANPOTMA,Não,Não,Vila Augusta,Viamão,"Marmita,Refeições coletivas",300,2,Quinta
Cozinha Solidária Muda Xará,MTD,Não,Não,Vila Imperial,Gravataí,As pessoas levam seus potes/vasilhas/pratos,120,2,Quinta
Cozinha Comunitária Sabor da Fé,Sem apadrinhamento,Sim,Não,Vila Nova,Porto Alegre,Marmita,300,3,Sexta
Cozinhas Solidaria Mulheres Em Rede,CUT Comunidades,Não,Não,Vila Nova,Porto Alegre,"Marmita,Outro",100,1,Sexta
Cristal 02 as Gurias,Fórum fome zero,Não,Não,Vila Nova,Porto Alegre,Marmita,162,1,Quarta
Associação Cristiano Kraemer,Fórum fome zero,Não,Não,Vila Nova,Porto Alegre,Marmita,480,2,Quarta
